iter	Passed	Remaining
613	7393	52816
614	7405	52805
615	7417	52787
616	7429	52777
617	7441	52761
618	7452	52744
619	7463	52722
620	7475	52712
621	7489	52712
622	7501	52702
623	7514	52695
624	7525	52680
625	7538	52673
626	7550	52662
627	7562	52649
628	7574	52634
629	7585	52614
630	7596	52599
631	7609	52589
632	7620	52571
633	7632	52561
634	7644	52549
635	7656	52536
636	7667	52516
637	7680	52512
638	7693	52506
639	7705	52496
640	7717	52481
641	7729	52470
642	7742	52461
643	7755	52455
644	7767	52443
645	7779	52431
646	7791	52419
647	7810	52458
648	7823	52451
649	7836	52441
650	7848	52431
651	7860	52420
652	7871	52402
653	7883	52387
654	7895	52378
655	7907	52359
656	7917	52340
657	7931	52339
658	7941	52313
659	7953	52302
660	7965	52290
661	7977	52276
662	7988	52259
663	8000	52241
664	8012	52234
665	8025	52223
666	8037	52213
667	8048	52196
668	8060	52185
669	8073	52177
670	8084	52155
671	8096	52146
672	8107	52125
673	8120	52121
674	8132	52109
675	8145	52101
676	8158	52095
677	8169	52079
678	8182	52068
679	8193	52054
680	8206	52044
681	8218	52032
682	8230	52022
683	8242	52006
684	8255	52000
685	8268	51998
686	8281	51990
687	8293	51980
688	8306	51972
689	8319	51966
690	8332	51958
691	8344	51948
692	8356	51934
693	8369	51926
694	8379	51904
695	8391	51891
696	8403	51877
697	8415	51870
698	8426	51851
699	8439	51841
700	8450	51824
701	8462	51812
702	8473	51795
703	8486	51784
704	8498	51776
705	8511	51769
706	8523	51755
707	8536	51747
708	8548	51736
709	8560	51721
710	8571	51707
711	8583	51694
712	8595	51683
713	8606	51664
714	8617	51645
715	8629	51632
716	8642	51626
717	8654	51615
718	8666	51600
719	8678	51589
720	8690	51577
721	8702	51561
722	8715	51558
723	8728	51549
724	8740	51541
725	8752	51528
726	8764	51515
727	8776	51504
728	8788	51489
729	8799	51473
730	8811	51461
731	8824	51451
732	8835	51432
733	8848	51424
734	8860	51417
735	8872	51403
736	8884	51388
737	8896	51378
738	8908	51365
739	8920	51351
740	8932	51342
741	8945	51336
742	8956	51318
743	8968	51305
744	8981	51296
745	8994	51287
746	9006	51280
747	9017	51262
748	9029	51245
749	9041	51235
750	9053	51224
751	9065	51208
752	9077	51198
753	9089	51187
754	9102	51177
755	9115	51171
756	9127	51162
757	9139	51149
758	9151	51136
759	9164	51126
760	9176	51116
761	9189	51109
762	9200	51092
763	9212	51077
764	9225	51069
765	9236	51053
766	9247	51037
767	9259	51021
768	9271	51013
769	9282	50995
770	9294	50980
771	9306	50971
772	9319	50963
773	9332	50955
774	9346	50952
775	9359	50945
776	9371	50932
777	9383	50921
778	9396	50916
779	9408	50901
780	9420	50891
781	9433	50883
782	9447	50882
783	9460	50871
784	9470	50852
785	9483	50842
786	9496	50834
787	9508	50825
788	9521	50816
789	9532	50801
790	9545	50794
791	9556	50776
792	9567	50759
793	9580	50750
794	9593	50740
795	9605	50729
796	9615	50709
797	9628	50699
798	9640	50688
799	9652	50678
800	9664	50662
801	9677	50657
802	9689	50643
803	9701	50631
804	9713	50619
805	9726	50611
806	9738	50598
807	9751	50591
808	9763	50580
809	9775	50566
810	9788	50560
811	9802	50555
812	9815	50547
813	9827	50537
814	9839	50527
815	9851	50515
816	9863	50502
817	9876	50491
818	9887	50476
819	9900	50467
820	9912	50455
821	9925	50446
822	9937	50435
823	9949	50422
824	9961	50409
825	9972	50392
826	9983	50378
827	9996	50367
828	10007	50349
829	10018	50332
830	10029	50318
831	10042	50308
832	10054	50298
833	10066	50283
834	10077	50267
835	10089	50255
836	10101	50244
837	10113	50230
838	10126	50224
839	10138	50209
840	10151	50199
841	10162	50187
842	10175	50176
843	10186	50158
844	10197	50141
845	10209	50128
846	10221	50115
847	10232	50102
848	10243	50081
849	10253	50060
850	10266	50052
851	10277	50036
852	10288	50016
853	10300	50006
854	10310	49986
855	10321	49968
856	10331	49945
857	10344	49940
858	10356	49927
859	10367	49906
860	10378	49893
861	10391	49881
862	10401	49864
863	10414	49853
864	10426	49844
865	10438	49829
866	10450	49816
867	10461	49802
868	10473	49790
869	10486	49778
870	10498	49769
871	10510	49757
872	10522	49744
873	10533	49727
874	10544	49712
875	10556	49698
876	10568	49683
877	10579	49668
878	10591	49656
879	10604	49647
880	10616	49635
881	10628	49622
882	10639	49608
883	10651	49594
884	10664	49586
885	10677	49577
886	10688	49561
887	10700	49551
888	10712	49539
889	10725	49530
890	10737	49519
891	10750	49511
892	10762	49498
893	10774	49486
894	10784	49466
895	10796	49450
896	10808	49440
897	10820	49426
898	10831	49410
899	10842	49392
900	10853	49377
901	10864	49361
902	10877	49350
903	10887	49332
904	10899	49319
905	10910	49303
906	10923	49292
907	10934	49277
908	10947	49267
909	10958	49254
910	10970	49242
911	10982	49228
912	10992	49208
913	11004	49195
914	11017	49185
915	11028	49170
916	11039	49155
917	11051	49143
918	11062	49126
919	11075	49116
920	11087	49105
921	11100	49097
922	11112	49084
923	11123	49068
924	11135	49057
925	11147	49045
926	11160	49037
927	11172	49024
928	11184	49011
929	11197	49004
930	11210	48994
931	11221	48980
932	11233	48967
933	11245	48955
934	11256	48938
935	11267	48923
936	11278	48906
937	11291	48895
938	11302	48880
939	11314	48867
940	11327	48859
941	11337	48841
942	11349	48829
943	11361	48816
944	11373	48803
945	11384	48789
946	11396	48773
947	11408	48761
948	11420	48749
949	11431	48733
950	11441	48712
951	11452	48698
952	11464	48685
953	11475	48669
954	11487	48655
955	11499	48643
956	11510	48627
957	11522	48616
958	11534	48602
959	11546	48592
960	11558	48579
961	11570	48567
962	11581	48550
963	11592	48536
964	11605	48525
965	11617	48513
966	11628	48498
967	11640	48486
968	11653	48476
969	11665	48464
970	11676	48448
971	11688	48437
972	11699	48423
973	11711	48408
974	11722	48392
975	11734	48379
976	11745	48363
977	11756	48348
978	11768	48335
979	11780	48325
980	11792	48311
981	11804	48299
982	11817	48291
983	11829	48279
984	11840	48265
985	11852	48250
986	11863	48236
987	11875	48224
988	11887	48210
989	11899	48200
990	11912	48191
991	11924	48177
992	11936	48166
993	11948	48155
994	11959	48140
995	11972	48129
996	11984	48117
997	11996	48106
998	12007	48088
999	12019	48076
1000	12031	48066
1001	12043	48055
1002	12055	48042
1003	12066	48025
1004	12079	48018
1005	12092	48008
1006	12104	47997
1007	12117	47989
1008	12128	47971
1009	12139	47955
1010	12150	47942
1011	12162	47929
1012	12174	47916
1013	12185	47901
1014	12198	47893
1015	12210	47881
1016	12221	47863
1017	12233	47851
1018	12244	47835
1019	12255	47820
1020	12267	47809
1021	12280	47800
1022	12293	47791
1023	12303	47773
1024	12315	47758
1025	12326	47743
1026	12338	47732
1027	12350	47718
1028	12362	47706
1029	12373	47691
1030	12385	47678
1031	12397	47667
1032	12409	47654
1033	12419	47637
1034	12431	47625
1035	12444	47616
1036	12456	47605
1037	12468	47592
1038	12479	47575
1039	12490	47560
1040	12503	47550
1041	12515	47539
1042	12528	47530
1043	12539	47516
1044	12552	47505
1045	12563	47490
1046	12573	47472
1047	12585	47461
1048	12596	47445
1049	12607	47429
1050	12620	47418
1051	12632	47406
1052	12644	47396
1053	12655	47380
1054	12667	47368
1055	12679	47354
1056	12691	47342
1057	12703	47330
1058	12714	47315
1059	12727	47306
1060	12738	47292
1061	12750	47278
1062	12760	47261
1063	12772	47249
1064	12784	47235
1065	12795	47221
1066	12807	47208
1067	12817	47190
1068	12829	47177
1069	12840	47163
1070	12852	47150
1071	12865	47141
1072	12876	47126
1073	12888	47115
1074	12900	47100
1075	12911	47085
1076	12921	47067
1077	12933	47054
1078	12945	47043
1079	12958	47034
1080	12969	47020
1081	12981	47006
